"exercise_id","embed_url"
122115,"https://embed.grasple.com/exercises/0bf97170-d067-4c55-a247-d8948c7f83d7?id=122115"
122121,"https://embed.grasple.com/exercises/99fdadf3-8363-4723-8f1f-c44e194d6e2b?id=122121"
122128,"https://embed.grasple.com/exercises/bc48a6a7-aa29-467a-b1cc-c6c9a1815437?id=122128"
122132,"https://embed.grasple.com/exercises/d8539b82-3105-42f7-a069-e9b2c571bef5?id=122132"
122135,"https://embed.grasple.com/exercises/77aa5a06-a70a-4c71-b0f0-8415c0970465?id=122135"
122138,"https://embed.grasple.com/exercises/b0983253-6ad5-4bb4-802a-19c0e287e7cd?id=122138"
122139,"https://embed.grasple.com/exercises/3c83519f-097d-4196-b6ff-56df35ecb94a?id=122139"
122140,"https://embed.grasple.com/exercises/c4434773-3bd7-436f-b589-b16be2849180?id=122140"
122142,"https://embed.grasple.com/exercises/103543bb-bdb6-4c9d-8fd2-eaeb10fe3206?id=122142"
122143,"https://embed.grasple.com/exercises/0b19b70d-56cd-475b-851a-58ed78f4b030?id=122143"
122146,"https://embed.grasple.com/exercises/19588ded-f8b0-4569-90ea-7f26cb43c841?id=122146"
122147,"https://embed.grasple.com/exercises/25d80fb8-e4e2-4478-9da0-5b1dcde59a62?id=122147"
122153,"https://embed.grasple.com/exercises/2d42311d-faec-4e8b-8fa3-6a3fcdb365cd?id=122153"
122155,"https://embed.grasple.com/exercises/7813e72b-a1db-45c8-a463-343fa3f1530e?id=122155"
122157,"https://embed.grasple.com/exercises/d3615822-dad5-4587-8276-2c956a07ef5d?id=122157"
122159,"https://embed.grasple.com/exercises/581d9a45-d094-418e-be91-6660d5a64897?id=122159"
122161,"https://embed.grasple.com/exercises/60c30a33-f8d3-4ecf-b204-ea1759ad0bcb?id=122161"
122162,"https://embed.grasple.com/exercises/fde291a3-7881-4804-b720-ab6b25e2c691?id=122162"
122166,"https://embed.grasple.com/exercises/a1305288-7749-4a22-bd21-857de4284b30?id=122166"
122169,"https://embed.grasple.com/exercises/5b1660b7-40d3-4a05-8b5d-4a451dbd864f?id=122169"
122170,"https://embed.grasple.com/exercises/8b3a270e-b6aa-4fc4-b61b-4ebbf55a4d06?id=122170"
122195,"https://embed.grasple.com/exercises/05b33d5c-4fc5-43e0-a14d-7a44cdf88985?id=122195"
122210,"https://embed.grasple.com/exercises/d8665ca8-b108-476d-8dd9-40652be04176?id=122210"
122213,"https://embed.grasple.com/exercises/ce8ec466-a925-488a-9d67-857bd93ea326?id=122213"
122216,"https://embed.grasple.com/exercises/fe2ef6a9-9c8e-48c6-be83-b0f223bd2220?id=122216"
122217,"https://embed.grasple.com/exercises/1a04e303-4e7a-4b7e-abce-9a2ffc61ca99?id=122217"
122219,"https://embed.grasple.com/exercises/3551bef7-2a8c-41b6-a9f0-24626dac48a2?id=122219"
122220,"https://embed.grasple.com/exercises/022eb4d3-b055-4dea-9c81-70b8bacaf16c?id=122220"
122223,"https://embed.grasple.com/exercises/7c4aefbc-2115-4221-a880-9f255a8d83a1?id=122223"
122233,"https://embed.grasple.com/exercises/f67c63c0-c3b1-44dd-911e-18b340e6e2c9?id=122233"
122235,"https://embed.grasple.com/exercises/0614583f-c829-42e9-bd89-076379628f83?id=122235"
122306,"https://embed.grasple.com/exercises/beb57bc8-6903-4a11-b91a-f75ffcf58963?id=122306"
122311,"https://embed.grasple.com/exercises/81e7037b-fdb5-4cba-9666-2902396b18f9?id=122311"
122313,"https://embed.grasple.com/exercises/2ca08e48-3777-4eef-a916-431ad12d00c5?id=122313"
122319,"https://embed.grasple.com/exercises/9b2791d5-3e72-4a8d-9cf3-cbc5757c637d?id=122319"
122337,"https://embed.grasple.com/exercises/265fc95d-151d-4871-b395-84b05d69a490?id=122337"
122338,"https://embed.grasple.com/exercises/fa2ae531-94a8-46a3-bef2-27fb2ecf42dc?id=122338"
122339,"https://embed.grasple.com/exercises/b6f9f708-253b-441a-af2c-e791a94e1b1f?id=122339"
122341,"https://embed.grasple.com/exercises/5c72509b-580d-4fef-8a45-bb2b5d18cd22?id=122341"
